Date,Establishment,Drink,Short Address,Image,Image 2,Map Address
7/20/17,Asha Tea House,Matcha latte,SF,https://farm5.staticflickr.com/4735/38336348635_b4f6378915_z.jpg,,
7/24/17,Little Sweet,Roast milk tea,SF,https://farm5.staticflickr.com/4727/38505047814_8f4889a723_z.jpg,https://farm5.staticflickr.com/4600/38336348455_0f5c85df3a_z.jpg,
7/29/17,U Cha,Okinawa milk tea ,"Berkeley, CA",https://farm5.staticflickr.com/4688/38505045154_004d5a325d_z.jpg,,
8/4/17,Twinkle Brown Sugar,Brown sugar milk tea,"Los Angeles, CA",https://farm5.staticflickr.com/4593/38505047704_0ee03b1a97_b.jpg,,
8/4/17,Snow Monster,Jasmine milk tea,"Los Angeles, CA (Koreatown)",https://farm5.staticflickr.com/4638/38336348275_f02bb482cd_b.jpg,,
8/6/17,7Leaves,Mung bean milk tea,"Westminster, CA",https://farm5.staticflickr.com/4633/38336344965_29c34ee31b_b.jpg,,
8/7/17,Milkbox,Earl Grey lavender ,"Irvine, CA",https://farm5.staticflickr.com/4596/38505047624_673b4b232b_b.jpg,,
8/10/17,Asha Tea House,Iced matcha latte ,SF,https://farm5.staticflickr.com/4646/38505045094_1998f126f2_z.jpg,https://farm5.staticflickr.com/4683/38505047524_39aac506a0_z.jpg,
8/13/17,Little Sweet,Roast milk tea,SF,https://farm5.staticflickr.com/4638/38505047354_344440c92b_b.jpg,,
8/15/17,i-Tea,Earl grey milk tea,SF (FiDi),https://farm5.staticflickr.com/4732/38336344805_0be9652969_z.jpg,https://farm5.staticflickr.com/4689/38336347745_4619bfea14_z.jpg,
8/16/17,Sno-Crave,Jasmine milk tea,SF,https://farm5.staticflickr.com/4634/24352183527_62be1eeb12_b.jpg,,
8/25/17,Plentea,Jasmine green tea,SF,https://farm5.staticflickr.com/4644/38505047194_92ffbe9c18_b.jpg,https://farm5.staticflickr.com/4587/38336347635_939e3e4f37_b.jpg,
8/26/17,Little Sweet,Roast milk tea,SF,https://farm5.staticflickr.com/4588/38505047154_405fedc08e_z.jpg,,
9/5/17,Sweethut,Jasmine green tea,SF,,,
9/6/17,i-Tea,"3G milk tea (tapioca, grass jelly, pudding)",SF (Sunset),,,
9/7/17,Ramen Bar,Jasmine milk tea,SF,,,
9/10/17,E Tea,Oolong milk tea,SF (Richmond),https://farm5.staticflickr.com/4685/38507098624_f1d2cfaf30_z.jpg,,
9/11/17,i-Tea,Jinxuan tea,SF (Kearny),,,
9/15/17,Hanlin Tea House,Mango green tea,SF,https://farm5.staticflickr.com/4600/38338718405_06ae8d1c1b_z.jpg,,
9/16/17,Sharetea,Green milk tea,N/A (catered),https://farm5.staticflickr.com/4682/38338723345_96be6d2db7_z.jpg,https://farm5.staticflickr.com/4593/38338723115_2c783b57e7_z.jpg,
9/17/17,Home Plate Boba,Black milk tea,SF,https://farm5.staticflickr.com/4593/24352701347_4093468364_z.jpg,https://farm5.staticflickr.com/4727/38507099684_b6d2140c63_z.jpg,
9/18/17,T4,Watermelon freeze,"Millbrae, CA",https://farm5.staticflickr.com/4598/39186899852_065153baaf_z.jpg,,
9/21/17,Mr. and Mrs. Tea House,Black tea sea salt creama,SF,https://farm5.staticflickr.com/4646/38338705005_66068ff373_z.jpg,,
9/22/17,Thainery Restaurant,Thai iced tea,SF,https://farm5.staticflickr.com/4686/39186901042_fd6021d227_z.jpg,,
9/23/17,TJ Cups,Genmaicha milk tea,SF,https://farm5.staticflickr.com/4681/38338735995_53cedb45fa_z.jpg,https://farm5.staticflickr.com/4726/38338736095_0e603c90e7_z.jpg,
9/24/17,Teaspoon,Rooibos milk tea,"San Jose, CA",https://farm5.staticflickr.com/4596/38338741175_69970166e8_z.jpg,,
9/28/17,Sharetea,Matcha milk tea,"Santa Clara, CA",https://farm5.staticflickr.com/4644/39214658371_078d8d7069_z.jpg,https://farm5.staticflickr.com/4645/39214656741_86a5acaa38_z.jpg,
10/1/17,MoSa,Classic (black) milk tea,"Dublin, Ireland",https://farm5.staticflickr.com/4633/39214663281_fa5a909b1d_z.jpg,,
10/8/17,Chatime,Oolong milk tea,"Paris, France",https://farm5.staticflickr.com/4738/24352738387_25100a26c5_z.jpg,,
10/9/17,BobaJam,Classic black milk tea,"London, England",https://farm5.staticflickr.com/4728/24352751077_f0734e698c_z.jpg,,
10/10/17,Cuppacha,Jasmine green milk tea,"London, England",https://farm5.staticflickr.com/4588/24352741677_36f0ae3e00_z.jpg,,
10/13/17,i-Tea,Roasted oolong milk tea,SF (Sunset),https://farm5.staticflickr.com/4633/24352745557_3568990c59_z.jpg,,
10/15/17,Happy Lemon,Black tea with salted cheese,"Burlingame, CA",https://farm5.staticflickr.com/4727/24352748297_ef46e3a746_z.jpg,,
10/16/17,i-Tea,Earl grey milk tea,SF (Kearny),https://farm5.staticflickr.com/4588/25348928978_8d91ce4f09_z.jpg,,
10/22/17,Wonderful Foods Co.,Watermelon juice,SF,https://farm5.staticflickr.com/4634/25348935088_42f77e95e4_z.jpg,https://farm5.staticflickr.com/4590/38507146304_b2fab7f48c_z.jpg,
10/23/17,Plentea,Roasted oolong milk tea,SF,https://farm5.staticflickr.com/4641/38507148174_0e6119ea5c_z.jpg,https://farm5.staticflickr.com/4588/25348936698_94fea95bb1_z.jpg,
10/28/17,Boba Guys,Matchata (matcha and horchata),SF (Fillmore),https://farm5.staticflickr.com/4733/25348938078_98f5e355fc_z.jpg,,
10/29/17,Tastea,"Bootea Shaker (mango, peach, & pineapple tea with black jelly)","San Jose, CA",https://farm5.staticflickr.com/4730/38507169604_995584eb0a_z.jpg,https://farm5.staticflickr.com/4681/25348949848_b5091d9815_z.jpg,
11/2/17,Little Sweet,Creamy high mountain tea,SF,https://farm5.staticflickr.com/4693/38507175094_2c193f6398_z.jpg,,
11/4/17,Infinitea,Green milk tea,SF,https://farm5.staticflickr.com/4738/24352780527_d5cc4bc5c0_z.jpg,,
11/10/17,Sweetheart Café,Roasted milk tea,SF,https://farm5.staticflickr.com/4690/24350573407_ed6dd089b3_b.jpg,,
11/18/17,Teaspoon,Oolong tea creama,SF,https://farm5.staticflickr.com/4636/38505046894_a575eb223e_z.jpg,,
11/20/17,Steap,Oolong milk tea,SF,https://farm5.staticflickr.com/4640/38505045004_103c5aff52_b.jpg,https://farm5.staticflickr.com/4738/38336347345_0697de2728_b.jpg,
11/21/17,Steap,Taro milk tea,SF,https://farm5.staticflickr.com/4725/38505046704_9aa28c7729_b.jpg,,
11/23/17,Wonderful Foods Co.,Green milk tea,SF,https://farm5.staticflickr.com/4730/38505046634_510fc50533_z.jpg,,
11/24/17,Sharetea,Oolong tea creama,SF (Metreon),https://farm5.staticflickr.com/4735/24350573357_2a796d15af_b.jpg,https://farm5.staticflickr.com/4647/38505046574_a3be875bba_b.jpg,
11/25/17,Happy Lemon,Matcha latte,"Fremont, CA",https://farm5.staticflickr.com/4599/38505046474_cb18d85b59_b.jpg,,
12/2/17,i-Tea,Alishan high mountain tea kreama,"Burlingame, CA",https://farm5.staticflickr.com/4685/38336346895_acf55f5d53_b.jpg,https://farm5.staticflickr.com/4592/38505046284_4e2beaa50e_z.jpg,
12/3/17,Super Cue,Jasmine milk tea (hot),SF (Ocean),https://farm5.staticflickr.com/4730/38336346675_0942fecbe7_b.jpg,https://farm5.staticflickr.com/4731/24350573327_1f78c01bb3_b.jpg,
12/6/17,Plentea,Honey lime jasmine tea,SF,N/A,,
12/15/17,Plentea,Honey lime jasmine tea,SF,https://farm5.staticflickr.com/4639/27436514459_f5a45ec0bc_z.jpg,https://farm5.staticflickr.com/4598/38505049594_8fd880db21_z.jpg,
12/16/17,Comebuy,Taiwan roasted oolong green tea,"Redwood City, CA",https://farm5.staticflickr.com/4681/38336346495_31b2f1a76a_z.jpg,https://farm5.staticflickr.com/4691/38505046034_39d1948665_z.jpg,
12/19/17,i-Tea,Honey brown rice milk tea,SF (Sunset),https://farm5.staticflickr.com/4679/38336344555_06e1ed7806_z.jpg,,
,,,,,,
,,,,,,
,,,,,,
